,RALM
0,0.0
1,0.0028600692749023
2,0.0040900707244873
3,0.0052659511566162
4,0.0062441825866699
5,0.0076260566711425
6,0.0085282325744628
7,0.0094490051269531
8,0.0103180408477783
9,0.0111219882965087
10,0.011916160583496
11,0.0127050876617431
12,0.0135340690612792
13,0.0143208503723144
14,0.0151019096374511
15,0.015881061553955
16,0.0166568756103515
17,0.0174341201782226
18,0.018273115158081
19,0.0190601348876953
20,0.0201861858367919
21,0.021198034286499
22,0.0221760272979736
23,0.0230672359466552
24,0.0239551067352294
25,0.0247302055358886
26,0.0255019664764404
27,0.0262699127197265
28,0.0270259380340576
29,0.0277991294860839
30,0.0286149978637695
31,0.0294010639190673
32,0.0301821231842041
33,0.0309572219848632
34,0.0317060947418212
35,0.0325660705566406
36,0.033419132232666
37,0.0342040061950683
38,0.0351650714874267
39,0.0360620021820068
40,0.0368959903717041
41,0.0377380847930908
42,0.0386090278625488
43,0.0394198894500732
44,0.0401999950408935
45,0.0409801006317138
46,0.0417520999908447
47,0.042532205581665
48,0.0433480739593505
49,0.0441291332244873
50,0.0449130535125732
51,0.0456550121307373
52,0.0464279651641845
53,0.0471820831298828
54,0.0479800701141357
55,0.0487329959869384
56,0.04948091506958
57,0.0502281188964843
58,0.0509712696075439
59,0.0518360137939453
60,0.0528662204742431
61,0.0538802146911621
62,0.0547490119934082
63,0.0555741786956787
64,0.0564160346984863
65,0.0572381019592285
66,0.0580811500549316
67,0.0588760375976562
68,0.0597078800201416
69,0.0605239868164062
70,0.0613329410552978
71,0.0622122287750244
72,0.0631639957427978
73,0.0639822483062744
74,0.0647559165954589
75,0.0655202865600586
76,0.0662782192230224
77,0.0670380592346191
78,0.0678322315216064
79,0.0685961246490478
80,0.0694241523742675
81,0.0702180862426757
82,0.0710711479187011
83,0.0719799995422363
84,0.0728940963745117
85,0.0737202167510986
86,0.0745432376861572
87,0.0753531455993652
88,0.0761191844940185
89,0.0768918991088867
90,0.0777192115783691
91,0.0785040855407714
92,0.0792851448059082
93,0.0800631046295166
94,0.0808289051055908
95,0.0816409587860107
96,0.0824880599975586
97,0.0832641124725341
98,0.0840330123901367
99,0.0847859382629394
100,0.0855600833892822
